above_threshold,ari,case_name,changepoints,duplicate_rate,duplicate_rate_conditional_on_hit,event_recall,experiment,f1,fn,fp,label_accuracy,localization_error,max_abs_error,max_score,mean_abs_error,mean_num_detections,mean_posterior_entropy,meta_ablation,meta_distance_type,meta_hazard,meta_horizon,meta_metric,meta_placeholder,meta_use_global,meta_use_prototypes,meta_variant,meta_window,method,nmi,num_detected,param_centered,param_d,param_delta,param_delta_rho,param_demeaned,param_epsilon,param_garch_noise,param_magnitude,param_mean_shift,param_mode_separation,param_n_after,param_n_before,param_n_changepoints,param_n_factors,param_n_per_segment,param_noise_level,param_nu,param_persistent,param_regime_duration,param_rho1,param_seed,param_serial_dependence,param_shift_family,param_shock_length,param_shock_type,param_signal_strength,param_similarity,param_sparsity,param_volatility_ratio,param_window_length,precision,recall,resource_name,resource_source,resource_url,threshold,tp,unavailable
1.0,,persistent_regime_shift,437,,,,A6,0.0,1.0,1.0,,nan,nan,47.798481229313374,nan,,,,,,,,,,,,,cusum_mean,,1.0,,,,,,,,medium,,,250,250,,,,,,True,,,1,,,0,volatility,,,,,,0.0,0.0,CUSUM mean alarm,Classic cumulative-sum sequential monitoring,https://en.wikipedia.org/wiki/CUSUM,24.781105425285723,0.0,0.0
0.0,,persistent_regime_shift,,,,,A6,0.0,1.0,0.0,,nan,nan,12.299156675549419,nan,,,,,,,,,,,,,ewma_vol,,0.0,,,,,,,,medium,,,250,250,,,,,,True,,,1,,,0,volatility,,,,,,0.0,0.0,EWMA volatility alarm,RiskMetrics-style EWMA volatility monitoring,https://www.msci.com/research-and-insights/paper/1996-riskmetrics-technical-document,14.097808263067432,0.0,0.0
1.0,,persistent_regime_shift,266,,,,A6,1.0,0.0,0.0,,16.0,16.0,1.9728347085294544,16.0,,,full,sliced,,124,sliced_wasserstein,False,True,True,proposed_full,62,proposed_full,,1.0,,,,,,,,medium,,,250,250,,,,,,True,,,1,,,0,volatility,,,,,,1.0,1.0,Proposed: local + prototypes + global refinement,docs/proposed_method.md §0,docs/proposed_method.md,0.40976257489186546,1.0,0.0
1.0,,persistent_regime_shift,232;266;299;369;436,,,,A6,0.33333333333333337,0.0,4.0,,16.0,16.0,1.9728347085294544,16.0,,,local_only,sliced,,124,sliced_wasserstein,False,False,False,proposed_local_only,62,proposed_local_only,,5.0,,,,,,,,medium,,,250,250,,,,,,True,,,1,,,0,volatility,,,,,,0.2,1.0,Proposed: local alert only,docs/experiment_plan.md §2.2,docs/experiment_plan.md,0.40976257489186546,1.0,0.0
1.0,,persistent_regime_shift,232;266;299;369;436,,,,A6,0.33333333333333337,0.0,4.0,,16.0,16.0,1.9728347085294544,16.0,,,local_only,sliced,,124,sliced_wasserstein,False,False,False,proposed_local_persistence_proxy,62,proposed_local_persistence_proxy,,5.0,,,,,,,,medium,,,250,250,,,,,,True,,,1,,,0,volatility,,,,,,0.2,1.0,Proposed: local + persistence proxy,docs/experiment_plan.md §2.2,docs/experiment_plan.md,0.40976257489186546,1.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.12492551895046802,nan,0.0,,,,,,,,,,,,coordinate_w2_matched_filter,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,0,,tail,,,medium,,,,50,0.0,0.0,Coordinate-wise W2 + matched filter,"Cheng et al., arXiv:1911.01325",https://arxiv.org/abs/1911.01325,0.24778080935158758,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.05770259261481205,nan,0.0,,,,,,,,,,,,mmd,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,0,,tail,,,medium,,,,50,0.0,0.0,MMD window scan,"Gretton et al., A Kernel Two-Sample Test, JMLR 2012",https://www.jmlr.org/papers/v13/gretton12a.html,0.09814997742243207,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.05770259261481205,nan,0.0,,,,,,,,,,,,window_rbf,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,0,,tail,,,medium,,,,50,0.0,0.0,Window-based CPD,ruptures window method,https://centre-borelli.github.io/ruptures-docs/,0.09814997742243207,0.0,0.0
0.0,,duplicate_peak_tail,154,0.0,0.0,0.0,A7,0.0,1.0,1.0,,nan,nan,0.19332674725629345,nan,1.0,,full,sliced,,100,sliced_wasserstein,False,True,True,proposed_full,50,proposed_full,,1.0,,,,,,,none,,,,,,1,,120,low,8,,,,0,,tail,,,medium,,,,50,0.0,0.0,Proposed: local + prototypes + global refinement,docs/proposed_method.md §0,docs/proposed_method.md,0.3814687062052614,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.19332674725629345,nan,0.0,,local_only,sliced,,100,sliced_wasserstein,False,False,False,proposed_local_persistence_proxy,50,proposed_local_persistence_proxy,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,0,,tail,,,medium,,,,50,0.0,0.0,Proposed: local + persistence proxy,docs/experiment_plan.md §2.2,docs/experiment_plan.md,0.3814687062052614,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.16428589308706038,nan,0.0,,,,,,,,,,,,coordinate_w2_matched_filter,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,1,,tail,,,medium,,,,50,0.0,0.0,Coordinate-wise W2 + matched filter,"Cheng et al., arXiv:1911.01325",https://arxiv.org/abs/1911.01325,0.24778080935158758,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.06615449618565432,nan,0.0,,,,,,,,,,,,mmd,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,1,,tail,,,medium,,,,50,0.0,0.0,MMD window scan,"Gretton et al., A Kernel Two-Sample Test, JMLR 2012",https://www.jmlr.org/papers/v13/gretton12a.html,0.09814997742243207,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.06615449618565432,nan,0.0,,,,,,,,,,,,window_rbf,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,1,,tail,,,medium,,,,50,0.0,0.0,Window-based CPD,ruptures window method,https://centre-borelli.github.io/ruptures-docs/,0.09814997742243207,0.0,0.0
0.0,,duplicate_peak_tail,151,0.0,0.0,0.0,A7,0.0,1.0,1.0,,nan,nan,0.23280103084546888,nan,1.0,,full,sliced,,100,sliced_wasserstein,False,True,True,proposed_full,50,proposed_full,,1.0,,,,,,,none,,,,,,1,,120,low,8,,,,1,,tail,,,medium,,,,50,0.0,0.0,Proposed: local + prototypes + global refinement,docs/proposed_method.md §0,docs/proposed_method.md,0.3814687062052614,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.23280103084546888,nan,0.0,,local_only,sliced,,100,sliced_wasserstein,False,False,False,proposed_local_persistence_proxy,50,proposed_local_persistence_proxy,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,1,,tail,,,medium,,,,50,0.0,0.0,Proposed: local + persistence proxy,docs/experiment_plan.md §2.2,docs/experiment_plan.md,0.3814687062052614,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.2029971773480262,nan,0.0,,,,,,,,,,,,coordinate_w2_matched_filter,,0.0,,,,,,,none,,,,,,1,,120,high,8,,,,0,,tail,,,medium,,,,50,0.0,0.0,Coordinate-wise W2 + matched filter,"Cheng et al., arXiv:1911.01325",https://arxiv.org/abs/1911.01325,0.24778080935158758,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.07061730576811805,nan,0.0,,,,,,,,,,,,mmd,,0.0,,,,,,,none,,,,,,1,,120,high,8,,,,0,,tail,,,medium,,,,50,0.0,0.0,MMD window scan,"Gretton et al., A Kernel Two-Sample Test, JMLR 2012",https://www.jmlr.org/papers/v13/gretton12a.html,0.09814997742243207,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.07061730576811805,nan,0.0,,,,,,,,,,,,window_rbf,,0.0,,,,,,,none,,,,,,1,,120,high,8,,,,0,,tail,,,medium,,,,50,0.0,0.0,Window-based CPD,ruptures window method,https://centre-borelli.github.io/ruptures-docs/,0.09814997742243207,0.0,0.0
0.0,,duplicate_peak_tail,154,0.0,0.0,0.0,A7,0.0,1.0,1.0,,nan,nan,0.3276606450431623,nan,1.0,,full,sliced,,100,sliced_wasserstein,False,True,True,proposed_full,50,proposed_full,,1.0,,,,,,,none,,,,,,1,,120,high,8,,,,0,,tail,,,medium,,,,50,0.0,0.0,Proposed: local + prototypes + global refinement,docs/proposed_method.md §0,docs/proposed_method.md,0.3814687062052614,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.3276606450431623,nan,0.0,,local_only,sliced,,100,sliced_wasserstein,False,False,False,proposed_local_persistence_proxy,50,proposed_local_persistence_proxy,,0.0,,,,,,,none,,,,,,1,,120,high,8,,,,0,,tail,,,medium,,,,50,0.0,0.0,Proposed: local + persistence proxy,docs/experiment_plan.md §2.2,docs/experiment_plan.md,0.3814687062052614,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.16563045840062585,nan,0.0,,,,,,,,,,,,coordinate_w2_matched_filter,,0.0,,,,,,,none,,,,,,1,,120,high,8,,,,1,,tail,,,medium,,,,50,0.0,0.0,Coordinate-wise W2 + matched filter,"Cheng et al., arXiv:1911.01325",https://arxiv.org/abs/1911.01325,0.24778080935158758,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.030069571822597996,nan,0.0,,,,,,,,,,,,mmd,,0.0,,,,,,,none,,,,,,1,,120,high,8,,,,1,,tail,,,medium,,,,50,0.0,0.0,MMD window scan,"Gretton et al., A Kernel Two-Sample Test, JMLR 2012",https://www.jmlr.org/papers/v13/gretton12a.html,0.09814997742243207,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.030069571822597996,nan,0.0,,,,,,,,,,,,window_rbf,,0.0,,,,,,,none,,,,,,1,,120,high,8,,,,1,,tail,,,medium,,,,50,0.0,0.0,Window-based CPD,ruptures window method,https://centre-borelli.github.io/ruptures-docs/,0.09814997742243207,0.0,0.0
0.0,,duplicate_peak_tail,151,0.0,0.0,0.0,A7,0.0,1.0,1.0,,nan,nan,0.2710327232782076,nan,1.0,,full,sliced,,100,sliced_wasserstein,False,True,True,proposed_full,50,proposed_full,,1.0,,,,,,,none,,,,,,1,,120,high,8,,,,1,,tail,,,medium,,,,50,0.0,0.0,Proposed: local + prototypes + global refinement,docs/proposed_method.md §0,docs/proposed_method.md,0.3814687062052614,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.2710327232782076,nan,0.0,,local_only,sliced,,100,sliced_wasserstein,False,False,False,proposed_local_persistence_proxy,50,proposed_local_persistence_proxy,,0.0,,,,,,,none,,,,,,1,,120,high,8,,,,1,,tail,,,medium,,,,50,0.0,0.0,Proposed: local + persistence proxy,docs/experiment_plan.md §2.2,docs/experiment_plan.md,0.3814687062052614,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.07408617172665721,nan,0.0,,,,,,,,,,,,coordinate_w2_matched_filter,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,0,,tail,,,medium,,,,100,0.0,0.0,Coordinate-wise W2 + matched filter,"Cheng et al., arXiv:1911.01325",https://arxiv.org/abs/1911.01325,0.10626090849518066,0.0,0.0
1.0,,duplicate_peak_tail,140,0.0,0.0,1.0,A7,1.0,0.0,0.0,,20.0,20.0,0.051076704251528084,20.0,1.0,,,,,,,,,,,,mmd,,1.0,,,,,,,none,,,,,,1,,120,low,8,,,,0,,tail,,,medium,,,,100,1.0,1.0,MMD window scan,"Gretton et al., A Kernel Two-Sample Test, JMLR 2012",https://www.jmlr.org/papers/v13/gretton12a.html,0.041185856257766364,1.0,0.0
1.0,,duplicate_peak_tail,140,0.0,0.0,1.0,A7,1.0,0.0,0.0,,20.0,20.0,0.051076704251528084,20.0,1.0,,,,,,,,,,,,window_rbf,,1.0,,,,,,,none,,,,,,1,,120,low,8,,,,0,,tail,,,medium,,,,100,1.0,1.0,Window-based CPD,ruptures window method,https://centre-borelli.github.io/ruptures-docs/,0.041185856257766364,1.0,0.0
0.0,,duplicate_peak_tail,139,0.0,0.0,1.0,A7,1.0,0.0,0.0,,19.0,19.0,0.16606598504295997,19.0,1.0,,full,sliced,,200,sliced_wasserstein,False,True,True,proposed_full,100,proposed_full,,1.0,,,,,,,none,,,,,,1,,120,low,8,,,,0,,tail,,,medium,,,,100,1.0,1.0,Proposed: local + prototypes + global refinement,docs/proposed_method.md §0,docs/proposed_method.md,0.1827937465524398,1.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.16606598504295997,nan,0.0,,local_only,sliced,,200,sliced_wasserstein,False,False,False,proposed_local_persistence_proxy,100,proposed_local_persistence_proxy,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,0,,tail,,,medium,,,,100,0.0,0.0,Proposed: local + persistence proxy,docs/experiment_plan.md §2.2,docs/experiment_plan.md,0.1827937465524398,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.0789202386719976,nan,0.0,,,,,,,,,,,,coordinate_w2_matched_filter,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,1,,tail,,,medium,,,,100,0.0,0.0,Coordinate-wise W2 + matched filter,"Cheng et al., arXiv:1911.01325",https://arxiv.org/abs/1911.01325,0.10626090849518066,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.019870923359776676,nan,0.0,,,,,,,,,,,,mmd,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,1,,tail,,,medium,,,,100,0.0,0.0,MMD window scan,"Gretton et al., A Kernel Two-Sample Test, JMLR 2012",https://www.jmlr.org/papers/v13/gretton12a.html,0.041185856257766364,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.019870923359776676,nan,0.0,,,,,,,,,,,,window_rbf,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,1,,tail,,,medium,,,,100,0.0,0.0,Window-based CPD,ruptures window method,https://centre-borelli.github.io/ruptures-docs/,0.041185856257766364,0.0,0.0
0.0,,duplicate_peak_tail,139,0.0,0.0,1.0,A7,1.0,0.0,0.0,,19.0,19.0,0.1521258081323922,19.0,1.0,,full,sliced,,200,sliced_wasserstein,False,True,True,proposed_full,100,proposed_full,,1.0,,,,,,,none,,,,,,1,,120,low,8,,,,1,,tail,,,medium,,,,100,1.0,1.0,Proposed: local + prototypes + global refinement,docs/proposed_method.md §0,docs/proposed_method.md,0.1827937465524398,1.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.1521258081323922,nan,0.0,,local_only,sliced,,200,sliced_wasserstein,False,False,False,proposed_local_persistence_proxy,100,proposed_local_persistence_proxy,,0.0,,,,,,,none,,,,,,1,,120,low,8,,,,1,,tail,,,medium,,,,100,0.0,0.0,Proposed: local + persistence proxy,docs/experiment_plan.md §2.2,docs/experiment_plan.md,0.1827937465524398,0.0,0.0
0.0,,duplicate_peak_tail,,0.0,nan,0.0,A7,0.0,1.0,0.0,,nan,nan,0.07312269633773112,nan,0.0,,,,,,,,,,,,coordinate_w2_matched_filter,,0.0,,,,,,,none,,,,,,1,,120,high,8,,,,0,,tail,,,medium,,,,100,0.0,0.0,Coordinate-wise W2 + matched filter,"Cheng et al., arXiv:1911.01325",https://arxiv.org/abs/1911.01325,0.10626090849518066,0.0,0.0
